קוד,פריט,משפחת פריט,קבוצת פריט,צורת ניהול מלאי,יחידת מידה,איפיון פריט 06,איפיון חברה,מזהה מדבקה לפריט
GLG-3713-23010000-25L,"מסיר חלודה, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,20090226
GLG-3713-20100000-5L,"מסיר חלודה, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,20090224
GLG-3362-23010000-25L,"מסיר אבנית מרוכז, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,20090221
GLG-3362-20100000-5L,"מסיר אבנית מרוכז, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,20090219
GLG-3354-41300000-500ML,"תרכיז לניקוי מנועים ממלחים, בקבוק 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,ימי,גרין גלובל,20090217
GLG-3354-23010000-25L,"תרכיז לניקוי מנועים ממלחים, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,ימי,גרין גלובל,20090214
GLG-3354-20100000-5L,"תרכיז לניקוי מנועים ממלחים, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,ימי,גרין גלובל,20090212
GLG-3353-41300000-500ML,"תרכיז לחידוש דק ימי, בקבוק 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,ימי,גרין גלובל,20090210
GLG-3353-23010000-25L,"תרכיז לחידוש דק ימי, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,ימי,גרין גלובל,20090207
GLG-3353-20100000-5L,"תרכיז לחידוש דק ימי, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,ימי,גרין גלובל,20090205
GLG-3352-23010000-25L,"תרכיז לחידוש גופי כלי שיט, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,ימי,גרין גלובל,20090202
GLG-3352-20100000-5L,"תרכיז לחידוש גופי כלי שיט, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,ימי,גרין גלובל,20090200
GLG-3351-23010001-25L,"מסיר אבנית ממקלחונים ומשטחי זכוכית בניחוח לימון, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,בייתי,גרין גלובל,20090197
GLG-3351-20100001-5L,"מסיר אבנית ממקלחונים ומשטחי זכוכית בניחוח לימון, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,בייתי,גרין גלובל,20090195
GLG-3342-41310001-500ML,"תרסיס להסרת ירוקת מכלי שיט בניחוח לימון, תרסיס 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,ימי,גרין גלובל,20090193
GLG-3342-23010001-25L,"תרסיס להסרת ירוקת מכלי שיט בניחוח לימון, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,ימי,גרין גלובל,20090190
